STATION,MEHGSWB,TURB,DOCSWD,SRPRSWFB,THGFSFC,THGSDFC,TCSDFB,TPRSDFB
12,0.703,12.3,22,0.002314096,164.2857143,99,41.72,480
28,0.557,31.6,49,0.004913705,126.4285714,89,26.13,320
30,0.233,6.6,19,0.003672657,17.17142857,56,32.97,400
31,0.476,70,28,0.002796528,106.7142857,150,43.53,450
33,0.442,1.6,26,0.012230508,70.57142857,73,23.76,210
35,0.431,30.6,22,0.004016857,139,55,19,180
37,0.15,3.2,18,0.002592158,57,180,38.83,430
40,1.75,4.9,21,0.003479974,69.28571429,150,41.94,320
43,0.133,10.3,17,0.00265217,74.71428571,170,44.13,520
45,0.195,4.6,19,0.009482512,48.14285714,120,47.25,480
46,0.293,12.4,21,0.0124,44.74285714,150,46.07,380
49,0.163,4.3,25,0.0121384,49.85714286,190,45.56,530
51,0.267,1.3,17,0.003409528,90.28571429,200,46.5,360
52,0.0759,12.3,16,0.003377559,53.85714286,210,48.38,390
53,0.195,7,20,0.0124,43.28571429,86,29.87,240
54,0.125,1.6,14,0.00363314,46.14285714,140,46.74,280
58,0.0349,3.9,14,0.004010843,20,200,44.67,300
59,0.141,0.5,16,0.003081956,65.42857143,120,45.67,450
61,0.0526,0.2,11,0.0016,66.4,160,46.84,340
62,0.224,9.5,19,0.0124,157.4285714,110,47.49,290
63,0.41,10.2,20,0.003391819,70.71428571,51,22.21,160
68,0.298,1,21,0.0124,49.42857143,87,43.86,280
69,0.275,7.8,12,0.003934885,108.1428571,200,46.39,440
72,0.298,1,23,0.0016,41.42857143,110,48.22,230
73,0.137,8.2,22,0.0124,4.768333333,100,33.34,300
74,0.129,1.8,19,0.0124,10.11428571,120,45.87,310
76,0.841,2.1,17,0.0016,117.7142857,140,43.7,380
77,0.197,0.3,29,0.001677131,68.42857143,120,45.83,370
80,0.318,1.1,24,0.0124,47.42857143,110,43.04,290
81,0.324,1.4,20,0.003207985,188.4285714,150,33.05,380
84,0.347,0.5,28,0.0016,48.71428571,71,19.27,240
86,0.275,0.8,17,0.00441594,14,100,43.66,780
88,0.371,0.5,19,0.004376561,98.16666667,130,43.6,480
89,0.979,0.4,29,0.0124,150,140,44.49,330
90,0.2,2.6,26,0.0016,49.14285714,120,37.06,420
91,0.305,1,21,0.004264113,73.57142857,94,38.04,450
93,0.197,0,21,0.001893827,23.57142857,97,43.2,640
94,0.287,0.2,20,0.0124,69.85714286,100,43.86,520
96,0.405,0.6,31,0.002782622,31.2,180,42.88,600
99,0.249,0.2,26,0.0124,55.85714286,88,44.4,680
100,0.725,1.1,31,0.0124,55.71428571,160,45.83,330
101,0.549,12.4,18,0.002338504,18.45714286,130,37.22,440
102,0.394,7.5,49,0.002918338,31.28571429,100,44.29,530
105,0.153,1.4,27,0.0124,18.18571429,82,44.83,530
106,0.678,12.4,21,0.003065995,41.88571429,44,23.84,1100
107,1.27,0.7,39,0.003382902,61.85714286,140,44.75,390
110,3.83,7.4,50,0.004151253,75.28571429,110,43.25,340
114,0.113,6,21,0.0124,34.34285714,110,47.29,660
115,0.14,2,25,0.008916146,17.81428571,95,45.15,1100
117,0.182,110,33,0.002153807,20.72857143,130,48.28,290
118,0.694,6.3,20,0.002368909,16.71428571,92,48.09,410
120,0.324,12,33,0.002756589,47.42857143,180,49.14,290
121,0.261,0.4,25,0.0026259,6.883333333,150,46.86,750
350,2.36,4.9,43,0.0124,39.33333333,160,41.96,340
