id,age,income,children,gender,region,married,car,savings_acct,current_acct,mortgage,pep
ID12101,48,17546,1,FEMALE,INNER_CITY,NO,NO,NO,NO,NO,YES
ID12102,40,30085.1,3,MALE,TOWN,YES,YES,NO,YES,YES,NO
ID12103,51,16575.4,0,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO
ID12104,23,20375.4,3,FEMALE,TOWN,YES,NO,NO,YES,NO,NO
ID12105,57,50576.3,0,FEMALE,RURAL,YES,NO,YES,NO,NO,NO
ID12106,57,37869.6,2,FEMALE,TOWN,YES,NO,YES,YES,NO,YES
ID12107,22,8877.07,0,MALE,RURAL,NO,NO,NO,YES,NO,YES
ID12108,58,24946.6,0,MALE,TOWN,YES,YES,YES,YES,NO,NO
ID12109,37,25304.3,2,FEMALE,SUBURBAN,YES,YES,NO,NO,NO,NO
ID12110,54,24212.1,2,MALE,TOWN,YES,YES,YES,YES,NO,NO
ID12111,66,59803.9,0,FEMALE,TOWN,YES,NO,YES,YES,NO,NO
ID12112,52,26658.8,0,FEMALE,INNER_CITY,NO,YES,YES,YES,YES,NO
ID12113,44,15735.8,1,FEMALE,TOWN,YES,NO,YES,YES,YES,YES
ID12114,66,55204.7,1,FEMALE,TOWN,YES,YES,YES,YES,YES,YES
ID12115,36,19474.6,0,MALE,RURAL,YES,NO,YES,YES,YES,NO
ID12116,38,22342.1,0,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,NO
ID12117,37,17729.8,2,FEMALE,TOWN,YES,NO,NO,NO,YES,NO
ID12118,46,41016,0,FEMALE,SUBURBAN,YES,NO,YES,NO,YES,NO
ID12119,62,26909.2,0,FEMALE,INNER_CITY,YES,NO,YES,NO,NO,YES
ID12120,31,22522.8,0,MALE,TOWN,YES,YES,YES,YES,NO,NO
ID12121,61,57880.7,2,MALE,INNER_CITY,YES,NO,YES,NO,NO,YES
ID12122,50,16497.3,2,MALE,TOWN,YES,NO,YES,YES,NO,NO
ID12123,54,38446.6,0,MALE,INNER_CITY,YES,NO,YES,YES,NO,NO
ID12124,27,15538.8,0,FEMALE,TOWN,NO,YES,YES,YES,YES,NO
ID12125,22,12640.3,2,MALE,INNER_CITY,NO,YES,YES,YES,NO,NO
ID12126,56,41034,0,MALE,INNER_CITY,YES,YES,YES,YES,YES,NO
ID12127,45,20809.7,0,MALE,INNER_CITY,YES,NO,YES,YES,YES,NO
ID12128,39,20114,1,FEMALE,TOWN,YES,NO,NO,YES,NO,YES
ID12129,39,29359.1,3,FEMALE,INNER_CITY,NO,YES,NO,YES,YES,NO
ID12130,61,24270.1,1,MALE,RURAL,YES,NO,NO,YES,NO,YES
ID12131,61,22942.9,2,FEMALE,RURAL,YES,NO,YES,YES,NO,NO
ID12132,20,16325.8,2,FEMALE,TOWN,YES,NO,YES,NO,NO,NO
ID12133,45,23443.2,1,MALE,SUBURBAN,YES,YES,YES,YES,NO,YES
ID12134,33,29921.3,3,FEMALE,INNER_CITY,NO,YES,YES,NO,NO,NO
ID12135,43,37521.9,0,MALE,SUBURBAN,NO,NO,YES,YES,NO,YES
ID12136,27,19868,2,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO
ID12137,19,10953,3,MALE,RURAL,YES,YES,YES,YES,NO,NO
ID12138,36,13381,0,FEMALE,RURAL,NO,YES,NO,YES,NO,YES
ID12139,43,18504.3,0,FEMALE,TOWN,YES,YES,YES,YES,NO,NO
ID12140,66,25391.5,2,FEMALE,SUBURBAN,NO,NO,NO,YES,NO,NO
ID12141,55,26774.2,0,MALE,TOWN,YES,NO,NO,YES,YES,YES
ID12142,47,26952.6,0,FEMALE,INNER_CITY,YES,YES,NO,YES,NO,NO
ID12143,67,55716.5,2,MALE,TOWN,NO,YES,YES,NO,NO,YES
ID12144,32,27571.5,0,FEMALE,TOWN,YES,YES,NO,YES,YES,NO
ID12145,20,13740,2,MALE,INNER_CITY,NO,YES,YES,YES,YES,NO
ID12146,64,52670.6,2,MALE,INNER_CITY,YES,NO,YES,YES,YES,YES
ID12147,50,13283.9,1,FEMALE,INNER_CITY,NO,YES,YES,YES,NO,YES
ID12148,29,13106.6,2,MALE,INNER_CITY,NO,NO,YES,YES,YES,YES
ID12149,52,39547.8,2,MALE,INNER_CITY,NO,YES,NO,YES,NO,YES
ID12150,47,17867.3,2,FEMALE,RURAL,YES,YES,YES,NO,NO,NO
ID12151,24,14309.7,2,MALE,TOWN,NO,YES,YES,NO,NO,NO
ID12152,36,23894.8,0,MALE,TOWN,YES,NO,NO,NO,NO,NO
ID12153,43,16259.7,1,MALE,TOWN,YES,NO,YES,YES,NO,YES
ID12154,48,29794.1,1,MALE,SUBURBAN,NO,NO,YES,YES,NO,YES
ID12155,63,56842.5,0,MALE,TOWN,YES,NO,YES,YES,YES,NO
ID12156,52,47835.8,3,FEMALE,RURAL,NO,NO,YES,NO,NO,YES
ID12157,58,24977.5,0,FEMALE,INNER_CITY,NO,NO,NO,YES,NO,YES
ID12158,28,23124.9,0,MALE,INNER_CITY,YES,NO,YES,YES,NO,YES
ID12159,29,15143.8,0,FEMALE,INNER_CITY,YES,NO,NO,YES,NO,NO
ID12160,34,25334.3,1,MALE,INNER_CITY,NO,YES,YES,YES,YES,YES
ID12161,42,24763.3,1,FEMALE,INNER_CITY,YES,NO,YES,YES,YES,YES
ID12162,65,36589,1,FEMALE,INNER_CITY,NO,YES,NO,YES,NO,YES
ID12163,47,27022.6,2,MALE,INNER_CITY,YES,NO,YES,YES,NO,NO
ID12164,20,11700.4,0,MALE,INNER_CITY,YES,NO,YES,NO,NO,NO
ID12165,21,5014.21,0,MALE,TOWN,NO,YES,YES,YES,YES,NO
ID12166,42,17390.1,0,MALE,INNER_CITY,YES,NO,YES,YES,NO,NO
ID12167,19,10861,2,MALE,TOWN,NO,NO,YES,YES,NO,NO
ID12168,41,34892.9,0,FEMALE,TOWN,NO,NO,YES,YES,YES,NO
ID12169,30,19403.1,2,MALE,TOWN,NO,NO,YES,YES,NO,NO
ID12170,31,10441.9,2,FEMALE,RURAL,YES,NO,NO,YES,NO,YES
ID12171,25,14064.9,3,MALE,INNER_CITY,YES,YES,YES,YES,NO,NO
ID12172,21,8062.73,0,MALE,INNER_CITY,NO,NO,NO,YES,NO,YES
ID12173,36,31982,3,MALE,INNER_CITY,YES,YES,YES,YES,YES,YES
ID12174,58,23197.5,2,FEMALE,INNER_CITY,YES,NO,YES,NO,YES,NO
ID12175,64,52674,2,FEMALE,INNER_CITY,NO,YES,YES,YES,NO,YES
ID12176,59,35610.5,2,FEMALE,RURAL,NO,YES,NO,NO,NO,YES
ID12177,45,26948,0,FEMALE,TOWN,NO,NO,YES,YES,YES,NO
ID12178,61,49456.7,1,MALE,INNER_CITY,YES,YES,YES,YES,YES,YES
ID12179,30,14724.5,0,FEMALE,INNER_CITY,YES,YES,NO,YES,NO,NO
ID12180,58,34524.9,2,FEMALE,TOWN,YES,YES,YES,NO,NO,YES
ID12181,50,22052.1,3,FEMALE,TOWN,NO,NO,YES,YES,NO,YES
ID12182,30,27808.1,3,MALE,INNER_CITY,NO,NO,NO,YES,NO,NO
ID12183,29,12591.4,1,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO
ID12184,35,16394.4,1,MALE,INNER_CITY,YES,NO,YES,YES,NO,YES
ID12185,62,24026.1,0,MALE,INNER_CITY,YES,NO,NO,YES,YES,YES
ID12186,36,31683.1,1,MALE,INNER_CITY,YES,YES,YES,YES,NO,YES
ID12187,25,15525,0,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO
ID12188,66,22562.2,0,FEMALE,TOWN,NO,YES,YES,YES,YES,NO
