age,workclass,education,marital-status,race,sex,hours-per-week,income
39,Public,13,Single,White,Male,40,<=50K
50,Self-emp,13,Married,White,Male,13,<=50K
38,Private,9,Single,White,Male,40,<=50K
53,Private,7,Married,Black,Male,40,<=50K
28,Private,13,Married,Black,Female,40,<=50K
37,Private,14,Married,White,Female,40,<=50K
49,Private,5,Married,Black,Female,16,<=50K
52,Self-emp,9,Married,White,Male,45,>50K
31,Private,14,Single,White,Female,50,>50K
42,Private,13,Married,White,Male,40,>50K
37,Private,10,Married,Black,Male,80,>50K
30,Public,13,Married,Asian,Male,40,>50K
23,Private,13,Single,White,Female,30,<=50K
32,Private,12,Single,Black,Male,50,<=50K
40,Private,11,Married,Asian,Male,40,>50K
34,Private,4,Married,Amer-Indian,Male,45,<=50K
25,Self-emp,9,Single,White,Male,35,<=50K
32,Private,9,Single,White,Male,40,<=50K
38,Private,7,Married,White,Male,50,<=50K
?,Self-emp,14,Single,White,Female,45,>50K
40,Private,16,Married,White,Male,60,>50K
54,Private,9,Single,Black,Female,20,<=50K
35,Public,5,Married,Black,Male,40,<=50K
43,Private,7,Married,White,Male,40,<=50K
59,Private,9,Single,White,Female,40,<=50K
56,Public,13,Married,White,Male,40,>50K
19,Private,9,Single,White,Male,40,<=50K
?,?,10,Married,Asian,Male,60,>50K
39,Private,9,Single,White,Male,80,<=50K
49,Private,9,Married,White,Male,40,<=50K
23,Public,12,Single,White,Male,52,<=50K
20,Private,10,Single,Black,Male,44,<=50K
45,Private,13,Single,White,Male,40,<=50K
30,Public,10,Married,White,Male,40,<=50K
22,Public,10,Married,Black,Male,15,<=50K
48,Private,7,Single,White,Male,40,<=50K
21,Private,10,Single,White,Male,40,<=50K
19,Private,9,Married,White,Female,25,<=50K
31,Private,10,Married,White,Male,38,>50K
48,Self-emp,12,Married,White,Male,40,<=50K
?,Private,5,Married,White,Male,43,<=50K
53,Self-emp,13,Married,White,Male,40,<=50K
24,Private,13,Married,White,Male,50,<=50K
49,Private,9,Single,White,Female,40,<=50K
25,Private,9,Single,White,Male,35,<=50K
57,Public,13,Married,Black,Male,40,>50K
53,Private,9,Married,White,Male,38,<=50K
44,Private,14,Single,White,Female,40,<=50K
41,Public,11,Married,White,Male,40,<=50K
29,Private,11,Single,White,Male,43,<=50K
25,Private,10,Married,Hispanic,Female,40,<=50K
18,Private,9,Single,White,Female,30,<=50K
47,Private,15,Married,White,Female,60,>50K
50,Public,13,Single,White,Male,55,>50K
47,Self-emp,9,Single,White,Male,60,<=50K
43,Private,10,Married,White,Male,40,>50K
46,Private,3,Married,White,Male,40,<=50K
35,Private,11,Married,White,Male,40,<=50K
41,Private,9,Married,White,Male,48,<=50K
30,Private,9,Married,White,Male,40,<=50K
30,Private,13,Married,White,Male,40,<=50K
32,?,4,Married,White,Male,40,<=50K
48,Private,9,Married,White,Male,40,<=50K
42,Private,16,Married,White,Male,45,>50K
29,Private,10,Single,White,Male,58,<=50K
?,Private,9,Married,White,Male,40,<=50K
28,Private,10,Single,White,Female,40,<=50K
53,Private,9,Married,White,Female,40,>50K
49,Self-emp,10,Married,White,Male,50,>50K
25,?,10,Single,White,Male,40,<=50K
19,Private,10,Single,White,Male,32,<=50K
31,Private,13,Single,Black,Female,40,<=50K
